	(1)	(2)	(3)	(4)	(5)	(6)
VARIABLES	res	res	res	res	res	res
						
Dea	-0.0016*			-0.0004		
	(0.0009)			(0.0005)		
lnage	-0.0223	-0.0221	-0.0223	-0.0098***	-0.0098***	-0.0098***
	(0.0190)	(0.0191)	(0.0190)	(0.0016)	(0.0016)	(0.0016)
klr	-0.0026	-0.0025	-0.0026	-0.0000**	-0.0000**	-0.0000**
	(0.0020)	(0.0020)	(0.0020)	(0.0000)	(0.0000)	(0.0000)
lnsize	-0.0006	-0.0007	-0.0007	-0.0058***	-0.0057***	-0.0059***
	(0.0018)	(0.0018)	(0.0018)	(0.0012)	(0.0012)	(0.0012)
bsize	0.0024	0.0023	0.0023	-0.0068	-0.0069	-0.0068
	(0.0056)	(0.0056)	(0.0056)	(0.0047)	(0.0047)	(0.0047)
dual	-0.0003	-0.0003	-0.0003	-0.0015	-0.0015	-0.0015
	(0.0018)	(0.0018)	(0.0018)	(0.0011)	(0.0011)	(0.0011)
lnrd	-0.0212	-0.0226	-0.0211	0.0001	0.0001	0.0001
	(0.0211)	(0.0210)	(0.0212)	(0.0001)	(0.0001)	(0.0001)
indrate	0.0138	0.0141	0.0135	-0.0230	-0.0228	-0.0229
	(0.0172)	(0.0173)	(0.0172)	(0.0314)	(0.0314)	(0.0314)
own	0.0020	0.0020	0.0020	0.0054	0.0053	0.0053
	(0.0022)	(0.0022)	(0.0022)	(0.0063)	(0.0063)	(0.0063)
lev	0.0099	0.0100	0.0100	-0.0057	-0.0057	-0.0056
	(0.0065)	(0.0065)	(0.0065)	(0.0039)	(0.0039)	(0.0039)
Breadth		-0.0014			-0.0006	
		(0.0010)			(0.0006)	
Depth			-0.0011			-0.0001
			(0.0008)			(0.0005)
Constant	0.4711***	0.4692***	0.4704***	0.7580***	0.7574***	0.7593***
	(0.0556)	(0.0559)	(0.0558)	(0.0256)	(0.0255)	(0.0257)
						
Observations	7,827	7,827	7,827	27,184	27,184	27,184
R-squared	0.8050	0.8050	0.8050	0.6178	0.6178	0.6178
report_constant	1	1	1	1	1	1
converged	1	1	1	1	1	1
ic	88	87	87	91	91	91
sumweights	7827	7827	7827	27184	27184	27184
r2_a_within	0.00229	0.00208	0.00189	0.00928	0.00931	0.00923
r2_a	0.728	0.728	0.728	0.534	0.534	0.534
r2_within	0.00406	0.00386	0.00366	0.00972	0.00976	0.00968
r2	0.805	0.805	0.805	0.618	0.618	0.618
ll_0	17743	17743	17743	53754	53754	53754
ll	17759	17759	17758	53887	53887	53886
F	1.408	1.335	1.400	9.418	9.782	9.474
rmse	0.0295	0.0296	0.0296	0.0368	0.0368	0.0368
mss	20.24	20.24	20.24	48.82	48.83	48.82
rss	4.901	4.902	4.903	30.20	30.20	30.20
tss_within	4.921	4.921	4.921	30.50	30.50	30.50
tss	25.14	25.14	25.14	79.03	79.03	79.03
df_m	10	10	10	10	10	10
df_r	282	282	282	422	422	422
rank	10	10	10	10	10	10
N_full	8632	8632	8632	27683	27683	27683
num_singletons	805	805	805	499	499	499
drop_singletons	1	1	1	1	1	1
df_a_nested	0	0	0	0	0	0
df_a_redundant	17	17	17	14	14	14
df_a_initial	2221	2221	2221	4910	4910	4910
df_a	2204	2204	2204	4896	4896	4896
N_hdfe_extended	3	3	3	3	3	3
N_hdfe	3	3	3	3	3	3
N_clust1	283	283	283	423	423	423
N_clustervars	1	1	1	1	1	1
N_clust	283	283	283	423	423	423
Robust standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
